LHD, Rax=3.75m (case1)

rho	\gamma/ky^2	zfdt	\chi_e_nlnr	\chi_e_model	Qe_nlnr	Qe_qslmodel	\chi_i_nlnr	\chi_i_model	Qi_nlnr	Qi_qslmodel	\Gamma_nlnr	\Gamma_qslmodel
0.46000	0.80000	2.6000	2.4000	2.7000	12.000	21.000	2.9000	5.9000	50.000	70.000	0.67000	4.1000
0.50000	1.1000	2.5000	3.8000	3.7000	21.000	27.000	4.2000	7.8000	71.000	93.000	0.55000	6.7000
0.54000	1.6000	2.5000	5.7000	5.1000	32.000	34.000	13.000	11.000	110.00	100.00	-0.29000	2.0001
0.58000	2.1000	2.4000	6.6000	6.1000	38.000	37.000	17.000	14.000	110.00	100.00	-1.0000	1.0220
0.62000	2.6000	2.1000	7.1000	7.1000	69.000	62.000	18.000	19.000	190.00	17.000	-3.1000	-0.34000
0.65000	3.1000	2.2000	7.8000	7.7000	70.000	62.000	22.000	21.000	220.00	170.00	-5.5000	-0.90000
0.68000	3.5000	2.1000	9.0000	8.2000	71.000	77.000	25.000	24.000	230.00	200.00	-8.1000	-3.1000
0.72000	4.4000	1.9000	10.000	9.1000	120.00	100.00	31.000	30.000	360.00	250.00	-14.000	-5.5000
0.76000	5.3000	1.6000	9.9000	10.000	200.00	180.00	32.000	34.000	490.00	530.00	-13.000	-10.000
0.80000	6.5000	1.5000	12.000	11.000	300.00	320.00	40.000	42.000	670.00	750.00	-19.000	-22.000
