LHD, Rax=3.75m (case1)

rho	n(10^19m-3)	dn/dr	Ln	R/Ln	Te(keV)	dTe/dr	LTe	R/LTe	Ti(kev)	dTi/dr	LTi	R/LTi
0.0100000	1.2563	-0.0098654	127.34	0.029448	3.3822	-0.059481	56.863	0.065948	3.8637	-0.16381	23.587	0.15903
0.020000	1.2562	-0.019674	63.849	0.058732	3.3817	-0.11903	28.412	0.13199	3.8622	-0.32753	11.792	0.31810
0.030000	1.2560	-0.029370	42.765	0.087688	3.3808	-0.17870	18.919	0.19821	3.8598	-0.49107	7.8599	0.47724
0.040000	1.2558	-0.038897	32.286	0.11615	3.3795	-0.23856	14.166	0.26471	3.8564	-0.65435	5.8934	0.63649
0.050000	1.2556	-0.048200	26.049	0.14396	3.3779	-0.29868	11.310	0.33158	3.8520	-0.81729	4.7131	0.79588
0.060000	1.2553	-0.057224	21.936	0.17095	3.3760	-0.35911	9.4009	0.39890	3.8466	-0.97978	3.9260	0.95545
0.070000	1.2549	-0.065914	19.038	0.19697	3.3736	-0.41992	8.0339	0.46677	3.8403	-1.1418	3.3635	1.1152
0.080000	1.2545	-0.074219	16.902	0.22186	3.3709	-0.48118	7.0056	0.53529	3.8330	-1.3031	2.9414	1.2753
0.090000	1.2540	-0.082085	15.277	0.24547	3.3678	-0.54293	6.2031	0.60454	3.8247	-1.4638	2.6129	1.4356
0.10000	1.2535	-0.089463	14.011	0.26764	3.3644	-0.60525	5.5587	0.67462	3.8155	-1.6237	2.3499	1.5963
0.11000	1.2529	-0.096304	13.010	0.28824	3.3606	-0.66819	5.0294	0.74562	3.8053	-1.7827	2.1346	1.7573
0.12000	1.2523	-0.10256	12.211	0.30711	3.3564	-0.73180	4.5864	0.81763	3.7942	-1.9407	1.9550	1.9187
0.13000	1.2517	-0.10819	11.570	0.32412	3.3518	-0.79616	4.2100	0.89074	3.7821	-2.0978	1.8029	2.0806
0.14000	1.2510	-0.11314	11.057	0.33914	3.3468	-0.86130	3.8858	0.96506	3.7691	-2.2537	1.6724	2.2429
0.15000	1.2504	-0.11738	10.652	0.35204	3.3415	-0.92729	3.6035	1.0407	3.7552	-2.4083	1.5592	2.4057
0.16000	1.2496	-0.12087	10.339	0.36271	3.3357	-0.99418	3.3552	1.1177	3.7403	-2.5617	1.4601	2.5691
0.17000	1.2489	-0.12357	10.107	0.37102	3.3295	-1.0620	3.1351	1.1961	3.7245	-2.7138	1.3725	2.7331
0.18000	1.2482	-0.12544	9.9501	0.37688	3.3229	-1.1309	2.9384	1.2762	3.7079	-2.8643	1.2945	2.8977
0.19000	1.2474	-0.12647	9.8637	0.38018	3.3160	-1.2007	2.7616	1.3579	3.6903	-3.0134	1.2247	3.0630
0.20000	1.2467	-0.12661	9.8466	0.38084	3.3085	-1.2717	2.6016	1.4414	3.6719	-3.1608	1.1617	3.2290
0.21000	1.2459	-0.12585	9.9003	0.37878	3.3007	-1.3438	2.4562	1.5268	3.6525	-3.3065	1.1047	3.3957
0.22000	1.2452	-0.12416	10.029	0.37392	3.2924	-1.4171	2.3233	1.6141	3.6324	-3.4504	1.0527	3.5632
0.23000	1.2444	-0.12153	10.240	0.36621	3.2837	-1.4917	2.2014	1.7035	3.6113	-3.5925	1.0052	3.7315
0.24000	1.2437	-0.11794	10.545	0.35561	3.2745	-1.5674	2.0891	1.7950	3.5894	-3.7326	0.96164	3.9007
0.25000	1.2430	-0.11339	10.963	0.34207	3.2649	-1.6445	1.9853	1.8889	3.5667	-3.8707	0.92145	4.0708
0.26000	1.2424	-0.10786	11.518	0.32557	3.2548	-1.7229	1.8891	1.9850	3.5432	-4.0068	0.88429	4.2419
0.27000	1.2417	-0.10136	12.251	0.30610	3.2442	-1.8026	1.7997	2.0837	3.5188	-4.1406	0.84982	4.4140
0.28000	1.2411	-0.093890	13.219	0.28368	3.2331	-1.8838	1.7163	2.1849	3.4937	-4.2723	0.81776	4.5870
0.29000	1.2406	-0.085458	14.517	0.25831	3.2216	-1.9663	1.6384	2.2888	3.4678	-4.4016	0.78784	4.7612
