LHD, Rax=3.6m (case2)

rho	n(10^19m-3)	(dn/dr)^-1	Ln	R/Ln	Te=Ti(keV)	R/LTi
0.0100000	1.4420	43.300	62.439	-0.057657	1.6630	0.069428
0.020000	1.4420	21.670	31.248	-0.11521	1.6620	0.13894
0.030000	1.4430	14.470	20.880	-0.17241	1.6620	0.20848
0.040000	1.4430	10.880	15.700	-0.22930	1.6610	0.27844
0.050000	1.4440	8.7260	12.600	-0.28571	1.6600	0.34855
0.060000	1.4450	7.2970	10.544	-0.34142	1.6590	0.41900
0.070000	1.4450	6.2810	9.0760	-0.39665	1.6580	0.48969
0.080000	1.4470	5.5220	7.9903	-0.45054	1.6560	0.56115
0.090000	1.4480	4.9350	7.1459	-0.50379	1.6550	0.63270
0.10000	1.4490	4.4690	6.4756	-0.55593	1.6530	0.70504
0.11000	1.4510	4.0910	5.9360	-0.60646	1.6500	0.77866
0.12000	1.4520	3.7790	5.4871	-0.65608	1.6480	0.85231
0.13000	1.4540	3.5170	5.1137	-0.70399	1.6460	0.92635
0.14000	1.4560	3.2960	4.7990	-0.75016	1.6430	1.0023
0.15000	1.4580	3.1070	4.5300	-0.79470	1.6400	1.0787
0.16000	1.4600	2.9440	4.2982	-0.83755	1.6360	1.1563
0.17000	1.4620	2.8030	4.0980	-0.87848	1.6330	1.2350
0.18000	1.4640	2.6810	3.9250	-0.91720	1.6290	1.3147
0.19000	1.4670	2.5740	3.7761	-0.95338	1.6250	1.3960
0.20000	1.4690	2.4800	3.6431	-0.98816	1.6200	2.4064
0.21000	1.4720	2.3990	3.5313	-1.0194	1.6170	1.5613
0.22000	1.4750	2.3280	3.4338	-1.0484	1.6120	1.6469
0.23000	1.4770	2.2660	3.3469	-1.0756	1.6080	1.7315
0.24000	1.4800	2.2120	3.2738	-1.0997	1.6030	1.8199
0.25000	1.4830	2.1670	3.2137	-1.1202	1.5970	1.9104
0.26000	1.4860	2.1280	3.1622	-1.1384	1.5920	2.0012
0.27000	1.4890	2.0960	3.1209	-1.1535	1.5860	2.0959
0.28000	1.4920	2.0710	3.0899	-1.1651	1.5800	2.1908
0.29000	1.4950	2.0520	3.0677	-1.1735	1.5740	1.8471
0.30000	1.4980	2.0390	3.0544	-1.1786	1.5670	2.3869
0.31000	1.5020	2.0320	3.0521	-1.1795	1.5610	2.4870
0.32000	1.5050	2.0320	3.0582	-1.1772	1.5540	1.6356
0.33000	1.5080	2.0380	3.0733	-1.1714	1.5460	2.6976
0.34000	1.5110	2.0510	3.0991	-1.1616	1.5390	2.8051
0.35000	1.5140	2.0710	3.1355	-1.1481	1.5310	2.9163
0.36000	1.5170	2.1000	3.1857	-1.1300	1.5230	3.0293
0.37000	1.5200	2.1380	3.2498	-1.1078	1.5150	3.1448
0.38000	1.5230	2.1860	3.3293	-1.0813	1.5060	3.2643
0.39000	1.5260	2.2470	3.4289	-1.0499	1.4980	3.3843
0.40000	1.5290	2.3210	3.5488	-1.0144	1.4880	3.5109
0.41000	1.5310	2.4130	3.6943	-0.97447	1.4790	3.6373
0.42000	1.5340	2.5270	3.8764	-0.92869	1.4690	3.7691
0.43000	1.5360	2.6680	4.0980	-0.87847	1.4600	3.9003
0.44000	1.5390	2.8440	4.3769	-0.82250	1.4490	4.0398
0.45000	1.5410	3.0670	4.7262	-0.76170	1.4390	4.1793
0.46000	1.5430	3.3570	5.1799	-0.69500	1.4280	4.3249
0.47000	1.5450	3.7420	5.7814	-0.62269	1.4170	4.4728
0.48000	1.5460	4.2750	6.6091	-0.54470	1.4060	4.6234
0.49000	1.5480	5.0530	7.8220	-0.46024	1.3940	4.7806
0.50000	1.5490	6.2870	9.7386	-0.36966	1.3820	4.9420
0.51000	1.5500	8.5240	13.212	-0.27248	1.3700	5.1054
0.52000	1.5500	13.780	21.359	-0.16855	1.3570	5.2763
0.53000	1.5510	40.370	62.614	-0.057495	1.3450	5.4468
0.54000	1.5510	-38.160	-59.186	0.060825	1.3320	5.6248
0.55000	1.5500	-12.430	-19.267	0.18685	1.3180	5.8103
0.56000	1.5490	-7.2450	-11.223	0.32078	1.3050	5.9957
0.57000	1.5480	-5.0230	-7.7756	0.46299	1.2910	6.1885
0.58000	1.5470	-3.7930	-5.8678	0.61352	1.2760	6.3917
0.59000	1.5450	-3.0130	-4.6551	0.77335	1.2620	6.5926
0.60000	1.5430	-2.4760	-3.8205	0.94229	1.2470	6.8040
0.61000	1.5400	-2.0840	-3.2094	1.1217	1.2320	7.0192
0.62000	1.5370	-1.7870	-2.7466	1.3107	1.2160	7.2455
0.63000	1.5330	-1.5540	-2.3823	1.5112	1.2010	7.4713
0.64000	1.5280	-1.3670	-2.0888	1.7235	1.1850	7.7067
0.65000	1.5230	-1.2140	-1.8489	1.9471	1.1680	7.9540
0.66000	1.5180	-1.0860	-1.6485	2.1837	1.1520	8.2021
0.67000	1.5120	-0.97830	-1.4792	2.4338	1.1350	8.4604
0.68000	1.5050	-0.88640	-1.3340	2.6986	1.1180	8.7264
0.70000	1.4890	-0.73820	-1.0992	3.2752	1.0830	9.2826
0.71000	1.4800	-0.67780	-1.0031	3.5887	1.0650	9.5732
0.72000	1.4700	-0.62450	-0.91802	3.9215	1.0470	9.8719
0.73000	1.4600	-0.57720	-0.84271	4.2719	1.0290	10.179
0.74000	1.4480	-0.53500	-0.77468	4.6471	1.0100	10.502
0.75000	1.4360	-0.49720	-0.71398	5.0422	0.99110	10.833
0.76000	1.4230	-0.46320	-0.65913	5.4617	0.97200	11.176
0.77000	1.4090	-0.43240	-0.60925	5.9089	0.95280	11.526
0.78000	1.3930	-0.40440	-0.56333	6.3906	0.93330	11.891
0.79000	1.3770	-0.37900	-0.52188	6.8981	0.91360	12.264
0.80000	1.3600	-0.35580	-0.48389	7.4397	0.89370	12.655
0.81000	1.3410	-0.33450	-0.44856	8.0256	0.87360	13.057
0.82000	1.3220	-0.31500	-0.41643	8.6449	0.85340	13.473
0.83000	1.3010	-0.29710	-0.38653	9.3137	0.83300	13.905
0.84000	1.2790	-0.28050	-0.35876	10.035	0.81250	14.348
0.85000	1.2560	-0.26520	-0.33309	10.808	0.79180	14.810
0.86000	1.2310	-0.25100	-0.30898	11.651	0.77110	15.287
0.87000	1.2050	-0.23780	-0.28655	12.563	0.75020	15.785
0.88000	1.1780	-0.22560	-0.26576	13.546	0.72930	16.297
0.89000	1.1490	-0.21420	-0.24612	14.627	0.70820	16.832
0.90000	1.1180	-0.20350	-0.22751	15.823	0.68720	17.381
0.91000	1.0860	-0.19360	-0.21025	17.123	0.66610	17.949
0.92000	1.0520	-0.18430	-0.19388	18.568	0.64490	18.546
0.93000	1.0170	-0.17560	-0.17859	20.158	0.62380	19.160
0.94000	0.98000	-0.16740	-0.16405	21.944	0.60270	19.798
0.95000	0.94110	-0.15980	-0.15039	23.938	0.58170	20.452
