LHD, Rax=3.6m (case3)

rho	n(10^19m-3)	(dn/dr)	Ln	R/Ln	Te=Ti(keV)	dTi/dr	R/LTi
0.0100000	1.7088	-1.6179	1.0562	3.4086	1.6147	-2.5044	5.5835
0.020000	1.6997	-1.4179	1.1987	3.0033	1.5999	-2.4214	5.4482
0.030000	1.6917	-1.2291	1.3764	2.6155	1.5857	-2.3407	5.3143
0.040000	1.6849	-1.0511	1.6030	2.2458	1.5718	-2.2625	5.1819
0.050000	1.6791	-0.88375	1.8999	1.8948	1.5585	-2.1868	5.0512
0.060000	1.6743	-0.72684	2.3035	1.5629	1.5456	-2.1134	4.9225
0.070000	1.6703	-0.58014	2.8792	1.2503	1.5331	-2.0425	4.7960
0.080000	1.6673	-0.44342	3.7600	0.95744	1.5211	-1.9740	4.6718
0.090000	1.6650	-0.31646	5.2612	0.68426	1.5094	-1.9079	4.5502
0.10000	1.6634	-0.19906	8.3566	0.43080	1.4982	-1.8442	4.4314
0.11000	1.6626	-0.090971	18.276	0.19698	1.4873	-1.7829	4.3155
0.12000	1.6623	0.0080117	-207.48	-0.017351	1.4768	-1.7241	4.2028
0.13000	1.6626	0.098113	-16.946	-0.21244	1.4666	-1.6676	4.0934
0.14000	1.6634	0.17955	-9.2643	-0.38859	1.4568	-1.6136	3.9876
0.15000	1.6647	0.25256	-6.5915	-0.54616	1.4472	-1.5620	3.8855
0.16000	1.6664	0.31734	-5.2512	-0.68555	1.4380	-1.5129	3.7874
0.17000	1.6685	0.37413	-4.4597	-0.80723	1.4291	-1.4661	3.6933
0.18000	1.6709	0.42314	-3.9488	-0.91168	1.4204	-1.4218	3.6034
0.19000	1.6735	0.46460	-3.6021	-0.99941	1.4120	-1.3799	3.5180
0.20000	1.6764	0.49872	-3.3614	-1.0710	1.4039	-1.3404	3.4372
0.21000	1.6795	0.52573	-3.1946	-1.1269	1.3959	-1.3033	3.3611
0.22000	1.6827	0.54585	-3.0827	-1.1678	1.3882	-1.2686	3.2899
0.23000	1.6860	0.55929	-3.0145	-1.1942	1.3807	-1.2364	3.2237
0.24000	1.6893	0.56629	-2.9831	-1.2068	1.3734	-1.2066	3.1628
0.25000	1.6927	0.56706	-2.9851	-1.2060	1.3662	-1.1792	3.1071
0.26000	1.6961	0.56182	-3.0189	-1.1925	1.3592	-1.1542	3.0570
0.27000	1.6994	0.55080	-3.0853	-1.1668	1.3524	-1.1316	3.0124
0.28000	1.7026	0.53421	-3.1872	-1.1295	1.3456	-1.1115	2.9736
0.29000	1.7058	0.51228	-3.3297	-1.0812	1.3390	-1.0938	2.9406
0.30000	1.7087	0.48522	-3.5215	-1.0223	1.3325	-1.0784	2.9136
0.31000	1.7115	0.45326	-3.7760	-0.95339	1.3261	-1.0656	2.8928
0.32000	1.7141	0.41662	-4.1143	-0.87500	1.3197	-1.0551	2.8781
0.33000	1.7165	0.37552	-4.5709	-0.78760	1.3134	-1.0470	2.8699
0.34000	1.7186	0.33018	-5.2048	-0.69167	1.3071	-1.0414	2.8681
0.35000	1.7204	0.28083	-6.1260	-0.58766	1.3009	-1.0382	2.8730
0.36000	1.7219	0.22767	-7.5628	-0.47601	1.2947	-1.0374	2.8846
0.37000	1.7230	0.17095	-10.079	-0.35717	1.2885	-1.0390	2.9030
0.38000	1.7238	0.11086	-15.549	-0.23152	1.2822	-1.0431	2.9285
0.39000	1.7243	0.047646	-36.190	-0.099475	1.2759	-1.0495	2.9612
0.40000	1.7243	-0.018484	93.289	0.038590	1.2696	-1.0584	3.0011
0.41000	1.7240	-0.087305	19.747	0.18231	1.2632	-1.0697	3.0484
0.42000	1.7232	-0.15860	10.866	0.33132	1.2568	-1.0834	3.1034
0.43000	1.7220	-0.23214	7.4181	0.48530	1.2502	-1.0995	3.1661
0.44000	1.7204	-0.30771	5.5910	0.64390	1.2436	-1.1181	3.2368
0.45000	1.7183	-0.38508	4.4621	0.80680	1.2368	-1.1391	3.3155
0.46000	1.7157	-0.46404	3.6972	0.97370	1.2299	-1.1625	3.4026
0.47000	1.7126	-0.54437	3.1460	1.1443	1.2228	-1.1883	3.4982
0.48000	1.7091	-0.62584	2.7308	1.3183	1.2156	-1.2165	3.6026
0.49000	1.7050	-0.70824	2.4074	1.4954	1.2082	-1.2471	3.7159
0.50000	1.7005	-0.79133	2.1489	1.6753	1.2007	-1.2802	3.8385
0.51000	1.6954	-0.87491	1.9379	1.8577	1.1929	-1.3157	3.9707
0.52000	1.6899	-0.95875	1.7626	2.0424	1.1849	-1.3536	4.1126
0.53000	1.6839	-1.0426	1.6150	2.2291	1.1766	-1.3939	4.2648
0.54000	1.6773	-1.1263	1.4892	2.4174	1.1681	-1.4367	4.4275
0.55000	1.6703	-1.2096	1.3808	2.6071	1.1594	-1.4818	4.6012
0.56000	1.6627	-1.2923	1.2867	2.7979	1.1504	-1.5294	4.7862
0.57000	1.6547	-1.3741	1.2042	2.9896	1.1410	-1.5794	4.9831
0.58000	1.6461	-1.4548	1.1315	3.1817	1.1314	-1.6318	5.1923
0.59000	1.6371	-1.5343	1.0670	3.3739	1.1214	-1.6866	5.4144
0.60000	1.6276	-1.6123	1.0095	3.5660	1.1111	-1.7439	5.6500
0.61000	1.6177	-1.6885	0.95806	3.7576	1.1005	-1.8036	5.8999
0.62000	1.6073	-1.7628	0.91179	3.9483	1.0895	-1.8657	6.1646
0.63000	1.5964	-1.8349	0.87005	4.1377	1.0781	-1.9302	6.4451
0.64000	1.5852	-1.9046	0.83229	4.3254	1.0663	-1.9971	6.7423
0.65000	1.5735	-1.9717	0.79804	4.5111	1.0541	-2.0664	7.0571
0.66000	1.5614	-2.0359	0.76692	4.6941	1.0415	-2.1382	7.3906
0.67000	1.5489	-2.0971	0.73860	4.8741	1.0285	-2.2124	7.7440
0.68000	1.5361	-2.1551	0.71280	5.0505	1.0150	-2.2890	8.1187
0.70000	1.5095	-2.2602	0.66787	5.3903	0.98656	-2.4494	8.9382
0.71000	1.4958	-2.3070	0.64836	5.5525	0.97161	-2.5333	9.3864
0.72000	1.4817	-2.3496	0.63063	5.7085	0.95615	-2.6196	9.8630
0.73000	1.4675	-2.3878	0.61456	5.8578	0.94017	-2.7083	10.370
0.74000	1.4530	-2.4214	0.60004	5.9996	0.92365	-2.7994	10.911
0.75000	1.4383	-2.4502	0.58700	6.1329	0.90657	-2.8929	11.488
0.76000	1.4235	-2.4740	0.57537	6.2568	0.88893	-2.9889	12.104
0.77000	1.4085	-2.4925	0.56510	6.3706	0.87070	-3.0872	12.765
0.78000	1.3934	-2.5055	0.55616	6.4730	0.85188	-3.1880	13.473
0.79000	1.3783	-2.5127	0.54853	6.5630	0.83244	-3.2912	14.233
0.80000	1.3632	-2.5141	0.54221	6.6395	0.81238	-3.3969	15.053
0.81000	1.3480	-2.5093	0.53721	6.7013	0.79167	-3.5049	15.938
0.82000	1.3329	-2.4981	0.53357	6.7470	0.77031	-3.6154	16.896
0.83000	1.3179	-2.4804	0.53134	6.7753	0.74828	-3.7283	17.937
0.84000	1.3031	-2.4558	0.53060	6.7848	0.72557	-3.8436	19.070
0.85000	1.2883	-2.4242	0.53145	6.7739	0.70216	-3.9613	20.310
0.86000	1.2738	-2.3853	0.53403	6.7412	0.67803	-4.0814	21.670
