LHD, Rax=3.6m (case2)

rho	q
0.020000	2.6589
0.040000	2.6563
0.060000	2.6528
0.080000	2.6478
0.10000	2.6409
0.12000	2.6318
0.14000	2.6201
0.16000	2.6052
0.18000	2.5867
0.20000	2.5644
0.22000	2.5386
0.24000	2.5100
0.26000	2.4790
0.28000	2.4457
0.30000	2.4103
0.32000	2.3730
0.34000	2.3341
0.36000	2.2935
0.38000	2.2514
0.40000	2.2080
0.42000	2.1633
0.44000	2.1173
0.46000	2.0702
0.48000	2.0220
0.50000	1.9727
0.52000	1.9225
0.54000	1.8715
0.56000	1.8196
0.58000	1.7670
0.60000	1.7138
0.62000	1.6601
0.64000	1.6060
0.65000	1.5790
0.66000	1.5517
0.68000	1.4971
0.70000	1.4425
0.72000	1.3879
0.74000	1.3333
0.76000	1.2788
0.78000	1.2244
0.80000	1.1702
0.82000	1.1162
0.84000	1.0624
0.86000	1.0086
0.88000	0.95497
0.90000	0.90127
0.92000	0.84739
0.94000	0.79317
0.96000	0.73836
0.98000	0.68266
1.0000	0.62587
